Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,2413639,0,0.00,0,0.00,17.20,2393694,19945
JPST,413904,0,0.00,0,0.00,50.52,413904,0
IEFA,397859,0,0.00,0,0.00,63.84,397580,279
IAGG,325557,0,0.00,0,0.00,55.06,302868,22689
USMV,249822,0,0.00,0,0.00,64.17,248021,1801
ITB,233614,0,0.00,0,0.00,44.72,233613,1
CBOE,219573,0,0.00,0,0.00,123.77,218895,678
GOVT,191386,0,0.00,0,0.00,26.16,191250,136
BBJP,156618,0,0.00,0,0.00,24.94,155518,1100
INDA,134848,0,0.00,0,0.00,34.20,132343,2505
EZU,123950,0,0.00,0,0.00,40.75,123850,100
BBEU,109375,0,0.00,0,0.00,24.56,109375,0
EFV,106506,0,0.00,0,0.00,49.38,106406,100
QUAL,101712,0,0.00,0,0.00,97.25,100182,1530
IGV,98727,0,0.00,0,0.00,227.70,98680,47
EFAV,95746,0,0.00,0,0.00,75.08,93744,2002
NEAR,68897,0,0.00,0,0.00,50.33,68897,0
ECH,65123,0,0.00,0,0.00,31.94,62524,2599
FLOT,62352,0,0.00,0,0.00,50.99,62315,37
BBCA,60186,0,0.00,0,0.00,25.41,60066,120
EEMV,56614,0,0.00,0,0.00,57.88,55841,773
PTLC,39723,0,0.00,0,0.00,32.54,39723,0
IDV,38369,0,0.00,0,0.00,32.28,38369,0
MTUM,36106,0,0.00,0,0.00,122.77,35770,336
USHY,31634,0,0.00,0,0.00,40.54,31527,107
EMHY,30695,0,0.00,0,0.00,46.36,28390,2305
REM,29319,0,0.00,0,0.00,43.20,29031,288
ACWV,26291,0,0.00,0,0.00,95.25,23108,3183
HYD,26272,0,0.00,0,0.00,64.22,25089,1183
NOBL,25928,0,0.00,0,0.00,74.20,25927,1
ICSH,25332,0,0.00,0,0.00,50.39,25240,92
HEFA,24158,0,0.00,0,0.00,31.01,24158,0
ESGV,21058,0,0.00,0,0.00,54.53,19375,1683
ITM,20664,0,0.00,0,0.00,50.15,20511,153
BBAX,19488,0,0.00,0,0.00,25.16,19488,0
IYZ,19196,0,0.00,0,0.00,29.52,17296,1900
IYT,18793,0,0.00,0,0.00,193.87,18608,185
PFFD,16799,0,0.00,0,0.00,24.88,12413,4386
PTNQ,14457,0,0.00,0,0.00,38.36,12203,2254
ATMP,14001,0,0.00,0,0.00,16.76,13901,100
CNYA,13761,0,0.00,0,0.00,28.34,12911,850
ITA,13453,0,0.00,0,0.00,231.18,13391,62
SLVP,13196,0,0.00,0,0.00,9.96,13196,0
EFG,11819,0,0.00,0,0.00,83.96,10712,1107
PTMC,10784,0,0.00,0,0.00,29.97,10784,0
JPGB,10766,0,0.00,0,0.00,50.82,9566,1200
PICK,8731,0,0.00,0,0.00,28.22,8731,0
SHYD,8306,0,0.00,0,0.00,25.17,8306,0
SMMV,8181,0,0.00,0,0.00,34.73,7710,471
IGE,8033,0,0.00,0,0.00,29.37,7990,43
STOT,7636,0,0.00,0,0.00,49.55,7636,0
REGL,7602,0,0.00,0,0.00,58.81,7602,0
ESML,7510,0,0.00,0,0.00,27.70,7510,0
SMDV,7470,0,0.00,0,0.00,59.93,7470,0
ICF,7332,0,0.00,0,0.00,116.00,7332,0
BBUS,7204,0,0.00,0,0.00,56.02,7204,0
DTEC,7111,0,0.00,0,0.00,31.33,7111,0
COWZ,7040,0,0.00,0,0.00,30.67,7040,0
BBRE,6895,0,0.00,0,0.00,88.53,6795,100
NUSC,6529,0,0.00,0,0.00,29.99,6329,200
HYDB,5911,0,0.00,0,0.00,50.00,5911,0
FFTI,5746,0,0.00,0,0.00,24.83,5746,0
VSGX,5601,0,0.00,0,0.00,51.56,5601,0
AGT,5545,0,0.00,0,0.00,19.53,5445,100
PTEU,5392,0,0.00,0,0.00,27.56,5392,0
PAWZ,5342,0,0.00,0,0.00,41.08,742,4600
VLUE,5214,0,0.00,0,0.00,87.12,5088,126
RYLD,5130,0,0.00,0,0.00,25.21,5130,0
DRSK,5041,0,0.00,0,0.00,27.50,5041,0
NULV,4940,0,0.00,0,0.00,32.35,4940,0
IYLD,4911,0,0.00,0,0.00,25.07,4711,200
IEO,4744,0,0.00,0,0.00,51.90,4644,100
JMUB,4740,0,0.00,0,0.00,54.24,4740,0
NULG,4730,0,0.00,0,0.00,40.05,4203,527
FLDR,4723,0,0.00,0,0.00,50.83,4723,0
IYJ,4466,0,0.00,0,0.00,166.02,4466,0
EMGF,4371,0,0.00,0,0.00,43.22,3471,900
TMFC,4312,0,0.00,0,0.00,24.00,3952,360
FLQL,3752,0,0.00,0,0.00,33.95,3752,0
NUMG,3732,0,0.00,0,0.00,34.39,3522,210
MFMS,3555,0,0.00,0,0.00,25.35,3555,0
ROMO,3403,0,0.00,0,0.00,25.34,3198,205
OMFL,3109,0,0.00,0,0.00,32.35,3109,0
PNOV,3042,0,0.00,0,0.00,25.90,3042,0
GCOW,2959,0,0.00,0,0.00,30.74,2959,0
PAPR,2835,0,0.00,0,0.00,25.75,2835,0
EMTL,2745,0,0.00,0,0.00,50.67,2745,0
IBMM,2738,0,0.00,0,0.00,26.40,2738,0
SECT,2687,0,0.00,0,0.00,30.20,2687,0
CALF,2633,0,0.00,0,0.00,25.54,2438,195
IPFF,2554,0,0.00,0,0.00,15.06,2554,0
SMIN,2492,0,0.00,0,0.00,35.45,2492,0
OILK,2467,0,0.00,0,0.00,20.98,2467,0
VXZ,2448,0,0.00,0,0.00,18.88,2448,0
PJUL,2444,0,0.00,0,0.00,26.37,2444,0
NUMV,2389,0,0.00,0,0.00,30.15,2389,0
VFMV,2282,0,0.00,0,0.00,90.14,782,1500
PLCY,2165,0,0.00,0,0.00,23.16,1302,863
GSEW,2158,0,0.00,0,0.00,49.29,2058,100
IQDG,2110,0,0.00,0,0.00,30.39,2110,0
IBHA,2073,0,0.00,0,0.00,24.91,1673,400
FFSG,2040,0,0.00,0,0.00,27.36,2040,0
IGRO,2028,0,0.00,0,0.00,58.37,2028,0
EDEN,1995,0,0.00,0,0.00,64.19,1995,0
PRNT,1899,0,0.00,0,0.00,21.31,1899,0
TOKE,1896,0,0.00,0,0.00,15.95,1896,0
CSM,1817,0,0.00,0,0.00,74.69,1717,100
LEAD,1709,0,0.00,0,0.00,37.49,1709,0
XSHD,1705,0,0.00,0,0.00,23.74,1703,2
HEEM,1670,0,0.00,0,0.00,25.78,1670,0
MEAR,1669,0,0.00,0,0.00,50.18,1669,0
GVI,1656,0,0.00,0,0.00,113.05,1253,403
KNG,1627,0,0.00,0,0.00,45.63,1627,0
IVAL,1600,0,0.00,0,0.00,28.77,1600,0
FFHG,1586,0,0.00,0,0.00,27.28,586,1000
GHYG,1517,0,0.00,0,0.00,48.79,1517,0
DALT,1501,0,0.00,0,0.00,10.08,1501,0
SYLD,1469,0,0.00,0,0.00,38.78,1469,0
DDLS,1429,0,0.00,0,0.00,31.70,1429,0
TMDV,1424,0,0.00,0,0.00,39.87,1424,0
JPHY,1422,0,0.00,0,0.00,51.24,1322,100
IGHG,1365,0,0.00,0,0.00,75.58,1365,0
ACES,1320,0,0.00,0,0.00,31.67,1319,1
OSIZ,1300,0,0.00,0,0.00,28.84,400,900
GVAL,1253,0,0.00,0,0.00,23.11,1253,0
FIBR,1251,0,0.00,0,0.00,101.49,1251,0
SMB,1176,0,0.00,0,0.00,17.76,1176,0
LVHB,1157,0,0.00,0,0.00,36.40,1157,0
VMOT,1101,0,0.00,0,0.00,24.53,1101,0
EWUS,1064,0,0.00,0,0.00,40.64,1064,0
GMOM,1061,0,0.00,0,0.00,25.30,1061,0
MLN,1044,0,0.00,0,0.00,21.06,1044,0
ICVT,971,0,0.00,0,0.00,60.58,971,0
QLC,960,0,0.00,0,0.00,35.39,960,0
FUT,900,0,0.00,0,0.00,39.61,100,800
CEFS,870,0,0.00,0,0.00,19.99,870,0
ESG,807,0,0.00,0,0.00,74.09,807,0
LSLT,800,0,0.00,0,0.00,28.05,800,0
DDWM,791,0,0.00,0,0.00,29.78,791,0
IBMN,737,0,0.00,0,0.00,27.15,737,0
DFND,720,0,0.00,0,0.00,31.33,720,0
CEMB,715,0,0.00,0,0.00,51.48,715,0
VFVA,710,0,0.00,0,0.00,74.76,710,0
IBHE,709,0,0.00,0,0.00,25.12,209,500
ENOR,705,0,0.00,0,0.00,23.74,705,0
PWS,683,0,0.00,0,0.00,23.29,683,0
XMPT,631,0,0.00,0,0.00,27.30,631,0
FRDM,601,0,0.00,0,0.00,26.24,601,0
DVEM,555,0,0.00,0,0.00,31.22,555,0
BJUL,528,0,0.00,0,0.00,26.99,528,0
FDEM,504,0,0.00,0,0.00,24.58,504,0
BBSA,502,0,0.00,0,0.00,25.55,502,0
BNOV,500,0,0.00,0,0.00,26.01,500,0
ESGG,473,0,0.00,0,0.00,103.44,473,0
NOCT,460,0,0.00,0,0.00,31.70,460,0
DIVB,459,0,0.00,0,0.00,29.77,348,111
SMMD,453,0,0.00,0,0.00,46.37,253,200
VAMO,435,0,0.00,0,0.00,20.55,435,0
FCTR,433,0,0.00,0,0.00,22.14,433,0
WFHY,419,0,0.00,0,0.00,51.33,419,0
IFRA,413,0,0.00,0,0.00,27.68,413,0
IEIH,410,0,0.00,0,0.00,27.03,410,0
RODI,400,0,0.00,0,0.00,86.08,400,0
LVHI,396,0,0.00,0,0.00,27.45,396,0
PAVE,391,0,0.00,0,0.00,17.23,391,0
EWGS,381,0,0.00,0,0.00,56.31,381,0
VQT,376,0,0.00,0,0.00,160.91,376,0
USEQ,366,0,0.00,0,0.00,29.40,366,0
JCPB,323,0,0.00,0,0.00,53.15,323,0
DYLS,314,0,0.00,0,0.00,26.88,214,100
BJAN,300,0,0.00,0,0.00,28.75,92,208
IDHD,300,0,0.00,0,0.00,28.34,300,0
RVRS,300,0,0.00,0,0.00,17.32,300,0
USMF,267,0,0.00,0,0.00,31.46,267,0
OVOL,262,0,0.00,0,0.00,30.85,262,0
TDV,261,0,0.00,0,0.00,39.55,261,0
PAUG,260,0,0.00,0,0.00,25.43,260,0
EFAD,247,0,0.00,0,0.00,38.99,247,0
XSHQ,234,0,0.00,0,0.00,27.97,234,0
JMST,232,0,0.00,0,0.00,50.51,232,0
DLBS,224,0,0.00,0,0.00,9.12,224,0
TAIL,222,0,0.00,0,0.00,19.83,222,0
EMDV,220,0,0.00,0,0.00,57.96,220,0
QDIV,215,0,0.00,0,0.00,26.26,115,100
FTVA,210,0,0.00,0,0.00,27.54,110,100
IGEB,206,0,0.00,0,0.00,52.66,206,0
HYXU,202,0,0.00,0,0.00,50.65,202,0
ACSI,200,0,0.00,0,0.00,34.75,200,0
EPRF,200,0,0.00,0,0.00,24.08,200,0
IBHB,200,0,0.00,0,0.00,24.58,200,0
NUDM,184,0,0.00,0,0.00,26.90,184,0
BAPR,180,0,0.00,0,0.00,27.18,180,0
EYLD,176,0,0.00,0,0.00,31.46,176,0
EURZ,175,0,0.00,0,0.00,22.80,175,0
POCT,175,0,0.00,0,0.00,24.90,175,0
GAA,156,0,0.00,0,0.00,27.45,156,0
IECS,156,0,0.00,0,0.00,27.57,156,0
FFTG,142,0,0.00,0,0.00,26.42,142,0
HSRT,138,0,0.00,0,0.00,40.96,138,0
PREF,136,0,0.00,0,0.00,100.41,136,0
PSEP,135,0,0.00,0,0.00,25.43,135,0
SFIG,132,0,0.00,0,0.00,50.76,132,0
DYB,131,0,0.00,0,0.00,20.92,31,100
IBML,131,0,0.00,0,0.00,25.80,131,0
VFQY,130,0,0.00,0,0.00,83.00,30,100
FLBL,120,0,0.00,0,0.00,24.97,120,0
GARD,119,0,0.00,0,0.00,25.87,119,0
FLQS,118,0,0.00,0,0.00,28.34,116,2
SFHY,114,0,0.00,0,0.00,50.04,114,0
VFMO,111,0,0.00,0,0.00,83.49,11,100
SHAG,109,0,0.00,0,0.00,50.40,109,0
IBHD,108,0,0.00,0,0.00,25.18,108,0
VFMF,107,0,0.00,0,0.00,78.60,7,100
SLT,104,0,0.00,0,0.00,26.78,104,0
BOCT,102,0,0.00,0,0.00,25.62,102,0
ALFA,101,0,0.00,0,0.00,57.42,101,0
DEFA,100,0,0.00,0,0.00,28.71,100,0
DHDG,100,0,0.00,0,0.00,25.41,100,0
EUDV,100,0,0.00,0,0.00,42.27,100,0
EVIX,100,0,0.00,0,0.00,4.00,0,100
FNOV,100,0,0.00,0,0.00,30.51,100,0
GSST,100,0,0.00,0,0.00,50.58,100,0
IEFN,100,0,0.00,0,0.00,25.82,100,0
REEM,100,0,0.00,0,0.00,24.32,100,0
TBLU,100,0,0.00,0,0.00,33.07,100,0
TRTY,100,0,0.00,0,0.00,24.49,100,0
TTAC,100,0,0.00,0,0.00,38.11,100,0
UAUG,100,0,0.00,0,0.00,25.55,100,0
ADME,97,0,0.00,0,0.00,30.13,97,0
FLQM,95,0,0.00,0,0.00,32.49,95,0
NURE,83,0,0.00,0,0.00,30.12,83,0
KOCT,81,0,0.00,0,0.00,24.79,81,0
FAUG,71,0,0.00,0,0.00,30.37,71,0
TCTL,71,0,0.00,0,0.00,31.86,71,0
GUDB,48,0,0.00,0,0.00,51.03,48,0
ALTS,45,0,0.00,0,0.00,37.47,45,0
TCLD,36,0,0.00,0,0.00,28.00,36,0
ICOW,35,0,0.00,0,0.00,26.52,35,0
DFVL,30,0,0.00,0,0.00,72.71,30,0
DTYS,30,0,0.00,0,0.00,11.27,30,0
FLHY,29,0,0.00,0,0.00,25.80,29,0
PEX,27,0,0.00,0,0.00,34.63,27,0
NUEM,24,0,0.00,0,0.00,26.09,24,0
VFLQ,24,0,0.00,0,0.00,84.88,12,12
IEME,22,0,0.00,0,0.00,27.45,22,0
EMIH,17,0,0.00,0,0.00,23.63,17,0
UNOV,17,0,0.00,0,0.00,25.85,17,0
LQDI,15,0,0.00,0,0.00,26.52,15,0
QMOM,15,0,0.00,0,0.00,32.09,15,0
EUMF,14,0,0.00,0,0.00,29.14,14,0
BOSS,11,0,0.00,0,0.00,20.01,11,0
OYLD,11,0,0.00,0,0.00,28.38,11,0
IZRL,10,0,0.00,0,0.00,22.03,10,0
IETC,4,0,0.00,0,0.00,31.17,4,0
UOCT,4,0,0.00,0,0.00,24.73,4,0
IAUF,3,0,0.00,0,0.00,55.64,3,0
UJUL,3,0,0.00,0,0.00,25.00,3,0
EFNL,2,0,0.00,0,0.00,36.78,2,0
HYHG,2,0,0.00,0,0.00,64.30,2,0
IMLP,2,0,0.00,0,0.00,14.35,2,0
LVHE,2,0,0.00,0,0.00,25.79,2,0
MAAX,2,0,0.00,0,0.00,25.56,2,0
PSMC,2,0,0.00,0,0.00,13.08,2,0
QVAL,2,0,0.00,0,0.00,29.90,2,0
SOVB,2,0,0.00,0,0.00,25.16,2,0
GTIP,1,0,0.00,0,0.00,52.46,1,0
IGIH,1,0,0.00,0,0.00,23.31,1,0
PSMB,1,0,0.00,0,0.00,14.42,1,0
PSMM,1,0,0.00,0,0.00,13.98,1,0
TILT,1,0,0.00,0,0.00,122.66,1,0
